fighter_name,Height,Weight,Reach,Stance,DOB,win_by,date,win
Ildemar Alcantara,74.0,185.0,78.0,Orthodox,1982-11-18,Other,2014-02-15,1
Ildemar Alcantara,74.0,185.0,78.0,Orthodox,1982-11-18,Other,2013-10-09,0
Ildemar Alcantara,74.0,185.0,78.0,Orthodox,1982-11-18,Other,2013-06-08,1
Ildemar Alcantara,74.0,185.0,78.0,Orthodox,1982-11-18,Other,2015-07-15,0
Ildemar Alcantara,74.0,185.0,78.0,Orthodox,1982-11-18,Other,2015-01-31,1
Ildemar Alcantara,74.0,185.0,78.0,Orthodox,1982-11-18,Other,2014-07-05,0
Ildemar Alcantara,74.0,185.0,78.0,Orthodox,1982-11-18,Submission,2013-01-19,1
Alfonso Alcarez,63.0,145.0,63.86206896551724,Orthodox,1970-06-10,Other,1999-09-24,0
Gilbert Aldana,73.0,250.0,74.70833333333333,Orthodox,1977-08-25,KO,2006-07-08,0
Gilbert Aldana,73.0,250.0,74.70833333333333,Orthodox,1977-08-25,KO,2006-02-04,0
Irene Aldana,69.0,135.0,68.0,Orthodox,1988-03-26,Other,2019-09-21,1
Irene Aldana,69.0,135.0,68.0,Orthodox,1988-03-26,Submission,2019-05-11,1
Irene Aldana,69.0,135.0,68.0,Orthodox,1988-03-26,Other,2018-09-08,1
Irene Aldana,69.0,135.0,68.0,Orthodox,1988-03-26,KO,2019-12-14,1
Irene Aldana,69.0,135.0,68.0,Orthodox,1988-03-26,Other,2019-07-20,0
Irene Aldana,69.0,135.0,68.0,Orthodox,1988-03-26,Other,2018-01-14,1
Irene Aldana,69.0,135.0,68.0,Orthodox,1988-03-26,Other,2017-04-08,0
Irene Aldana,69.0,135.0,68.0,Orthodox,1988-03-26,Other,2016-12-17,0
Hector Aldana,71.0,170.0,72.0,Orthodox,1988-08-17,KO,2019-10-12,0
Hector Aldana,71.0,170.0,72.0,Orthodox,1988-08-17,Other,2018-11-17,0
Hector Aldana,71.0,170.0,72.0,Orthodox,1988-08-17,KO,2018-06-23,0
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,Other,2019-05-11,0
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,KO,2019-02-02,1
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,KO,2018-07-28,1
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,KO,2017-06-03,0
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,Other,2016-07-09,1
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,KO,2015-12-12,0
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,Other,2014-10-25,1
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,Other,2014-02-01,1
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,KO,2013-08-03,1
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,Other,2013-02-02,1
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,KO,2012-01-14,1
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,Other,2011-10-08,1
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,Other,2011-04-30,1
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,Other,2019-12-14,0
Jose Aldo,67.0,135.0,70.0,Orthodox,1986-09-09,KO,2017-12-02,0
JJ Aldrich,65.0,125.0,67.0,Southpaw,1992-09-29,Other,2019-10-12,1
JJ Aldrich,65.0,125.0,67.0,Southpaw,1992-09-29,Other,2017-06-10,1
JJ Aldrich,65.0,125.0,67.0,Southpaw,1992-09-29,Other,2020-01-18,0
JJ Aldrich,65.0,125.0,67.0,Southpaw,1992-09-29,KO,2019-03-23,0
JJ Aldrich,65.0,125.0,67.0,Southpaw,1992-09-29,Other,2018-08-04,1
JJ Aldrich,65.0,125.0,67.0,Southpaw,1992-09-29,Other,2018-01-14,1
JJ Aldrich,65.0,125.0,67.0,Southpaw,1992-09-29,Other,2016-12-09,0
Jim Alers,69.0,145.0,71.0,Orthodox,1986-10-14,Other,2016-07-23,0
Jim Alers,69.0,145.0,71.0,Orthodox,1986-10-14,Other,2015-12-19,0
Jim Alers,69.0,145.0,71.0,Orthodox,1986-10-14,KO,2015-02-14,0
Jim Alers,69.0,145.0,71.0,Orthodox,1986-10-14,Other,2014-04-11,1
John Alessio,70.0,155.0,72.0,Orthodox,1979-07-05,Other,2012-07-07,0
John Alessio,70.0,155.0,72.0,Orthodox,1979-07-05,Other,2012-04-21,0
John Alessio,70.0,155.0,72.0,Orthodox,1979-07-05,Other,2006-10-10,0
John Alessio,70.0,155.0,72.0,Orthodox,1979-07-05,Other,2006-05-27,0
John Alessio,70.0,155.0,72.0,Orthodox,1979-07-05,Submission,2000-06-09,0
Houston Alexander,72.0,205.0,72.0,Orthodox,1972-03-22,KO,2007-09-08,1
Houston Alexander,72.0,205.0,72.0,Orthodox,1972-03-22,KO,2007-05-26,1
Houston Alexander,72.0,205.0,72.0,Orthodox,1972-03-22,Other,2009-12-05,0
Houston Alexander,72.0,205.0,72.0,Orthodox,1972-03-22,Submission,2008-09-17,0
Houston Alexander,72.0,205.0,72.0,Orthodox,1972-03-22,KO,2008-04-02,0
Houston Alexander,72.0,205.0,72.0,Orthodox,1972-03-22,KO,2007-11-17,0
Marcio Alexandre Junior,72.0,185.0,75.0,Southpaw,1989-05-05,Other,2014-12-20,0
Marcio Alexandre Junior,72.0,185.0,75.0,Southpaw,1989-05-05,Submission,2014-05-31,0
Marcio Alexandre Junior,72.0,185.0,75.0,Southpaw,1989-05-05,Other,2015-12-12,0
Royce Alger,70.0,199.0,71.77173913043478,Orthodox,,KO,1999-07-16,0
Royce Alger,70.0,199.0,71.77173913043478,Orthodox,,Submission,1997-05-30,0
Sultan Aliev,71.0,170.0,74.0,Orthodox,1984-09-17,Other,2019-04-20,1
Sultan Aliev,71.0,170.0,74.0,Orthodox,1984-09-17,KO,2018-05-12,0
Sultan Aliev,71.0,170.0,74.0,Orthodox,1984-09-17,Other,2016-12-17,1
Sultan Aliev,71.0,170.0,74.0,Orthodox,1984-09-17,KO,2015-01-24,0
John Allan,75.0,205.0,75.0,Orthodox,1993-02-22,Other,2019-07-13,0
Arnold Allen,68.0,145.0,70.0,Southpaw,1994-01-22,Other,2020-01-25,1
Arnold Allen,68.0,145.0,70.0,Southpaw,1994-01-22,Other,2019-03-16,1
Arnold Allen,68.0,145.0,70.0,Southpaw,1994-01-22,Submission,2018-05-27,1
Arnold Allen,68.0,145.0,70.0,Southpaw,1994-01-22,Other,2017-03-18,1
Arnold Allen,68.0,145.0,70.0,Southpaw,1994-01-22,Other,2016-02-27,1
Arnold Allen,68.0,145.0,70.0,Southpaw,1994-01-22,Other,2019-07-06,1
Arnold Allen,68.0,145.0,70.0,Southpaw,1994-01-22,Submission,2015-06-20,1
Brendan Allen,74.0,185.0,75.0,Orthodox,1995-12-28,KO,2020-02-29,1
Brendan Allen,74.0,185.0,75.0,Orthodox,1995-12-28,Submission,2019-10-18,1
Benny Alloway,71.0,170.0,75.0,Orthodox,1981-02-19,Other,2013-04-06,0
Benny Alloway,71.0,170.0,75.0,Orthodox,1981-02-19,KO,2012-12-14,1
Benny Alloway,71.0,170.0,75.0,Orthodox,1981-02-19,Submission,2013-08-28,0
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,Other,2011-03-19,0
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,Submission,2010-03-27,1
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,Other,2009-08-08,1
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,Other,2009-04-01,1
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,Submission,2008-02-02,1
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,Submission,2001-09-28,1
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,Other,2010-12-11,1
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,Submission,2010-08-07,0
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,Other,2008-07-05,0
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,KO,2002-01-11,0
Ricardo Almeida,72.0,170.0,74.0,Orthodox,1976-11-29,Other,2001-05-04,0
Thomas Almeida,67.0,135.0,70.0,Southpaw,1991-07-31,KO,2018-01-20,0
Thomas Almeida,67.0,135.0,70.0,Southpaw,1991-07-31,KO,2016-11-19,1
Thomas Almeida,67.0,135.0,70.0,Southpaw,1991-07-31,KO,2016-05-29,0
Thomas Almeida,67.0,135.0,70.0,Southpaw,1991-07-31,KO,2015-11-07,1
Thomas Almeida,67.0,135.0,70.0,Southpaw,1991-07-31,Other,2014-11-08,1
Thomas Almeida,67.0,135.0,70.0,Southpaw,1991-07-31,Other,2017-07-22,0
Thomas Almeida,67.0,135.0,70.0,Southpaw,1991-07-31,KO,2015-07-11,1
Thomas Almeida,67.0,135.0,70.0,Southpaw,1991-07-31,KO,2015-04-25,1
Ericka Almeida,66.0,115.0,68.0,Orthodox,1989-03-05,Other,2015-10-24,0
Ericka Almeida,66.0,115.0,68.0,Orthodox,1989-03-05,Other,2015-05-30,0
Sean Alvarez,72.0,235.0,73.75,Orthodox,1971-07-14,KO,2003-04-25,0
Eddie Alvarez,69.0,155.0,69.0,Orthodox,1984-01-11,KO,2018-07-28,0
Eddie Alvarez,69.0,155.0,69.0,Orthodox,1984-01-11,KO,2017-12-02,1
Eddie Alvarez,69.0,155.0,69.0,Orthodox,1984-01-11,Other,2017-05-13,0
Eddie Alvarez,69.0,155.0,69.0,Orthodox,1984-01-11,KO,2016-11-12,0
Eddie Alvarez,69.0,155.0,69.0,Orthodox,1984-01-11,KO,2016-07-07,1
Eddie Alvarez,69.0,155.0,69.0,Orthodox,1984-01-11,Other,2016-01-17,1
Eddie Alvarez,69.0,155.0,69.0,Orthodox,1984-01-11,Other,2015-06-13,1
Eddie Alvarez,69.0,155.0,69.0,Orthodox,1984-01-11,Other,2014-09-27,0
Joel Alvarez,75.0,155.0,77.0,Orthodox,1994-03-02,KO,2019-06-01,1
Joel Alvarez,75.0,155.0,77.0,Orthodox,1994-03-02,Other,2019-02-23,0
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Submission,2019-12-07,0
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Other,2019-05-11,0
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Other,2019-02-02,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,KO,2018-02-18,0
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Other,2017-04-08,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Other,2014-04-19,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Submission,2012-03-02,0
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Submission,2011-11-05,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Other,2011-05-28,0
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Other,2010-12-11,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Other,2008-10-25,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,KO,2008-06-07,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,KO,2008-04-02,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,KO,2007-11-17,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,KO,2007-09-19,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,KO,2006-12-30,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Other,2006-10-10,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,KO,2006-04-15,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,KO,2005-11-19,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Other,2018-09-15,0
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Other,2016-11-12,0
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,KO,2015-05-30,0
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,KO,2015-01-31,1
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Other,2010-08-07,0
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Other,2009-07-11,0
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,KO,2006-06-28,0
Thiago Alves,69.0,170.0,70.0,Orthodox,1983-10-03,Submission,2005-10-03,0
Amilcar Alves,72.0,170.0,73.75,Southpaw,1988-08-08,Other,2011-01-22,0
Amilcar Alves,72.0,170.0,73.75,Southpaw,1988-08-08,Submission,2010-08-28,0
Warlley Alves,71.0,170.0,72.0,Orthodox,1991-01-04,Submission,2019-11-16,0
Warlley Alves,71.0,170.0,72.0,Orthodox,1991-01-04,KO,2019-05-11,1
Warlley Alves,71.0,170.0,72.0,Orthodox,1991-01-04,KO,2018-05-12,1
Warlley Alves,71.0,170.0,72.0,Orthodox,1991-01-04,Other,2016-11-19,0
Warlley Alves,71.0,170.0,72.0,Orthodox,1991-01-04,Other,2016-05-14,0
Warlley Alves,71.0,170.0,72.0,Orthodox,1991-01-04,Submission,2015-12-12,1
Warlley Alves,71.0,170.0,72.0,Orthodox,1991-01-04,Submission,2015-08-01,1
Warlley Alves,71.0,170.0,72.0,Orthodox,1991-01-04,Other,2014-11-08,1
Warlley Alves,71.0,170.0,72.0,Orthodox,1991-01-04,KO,2018-08-25,0
Warlley Alves,71.0,170.0,72.0,Orthodox,1991-01-04,Other,2017-10-21,1
Warlley Alves,71.0,170.0,72.0,Orthodox,1991-01-04,Submission,2014-05-31,1
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,Other,2019-07-20,0
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,KO,2018-09-22,0
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,KO,2018-02-24,1
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,Other,2017-10-21,0
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,Other,2017-08-05,1
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,Other,2016-11-05,1
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,KO,2016-08-27,1
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,KO,2019-02-09,0
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,Other,2018-06-01,1
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,Other,2017-04-22,0
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,Other,2017-01-28,1
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,Submission,2016-07-13,1
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,Other,2016-06-18,0
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,KO,2015-08-08,0
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,KO,2015-05-09,1
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,KO,2015-02-22,1
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,KO,2014-11-07,1
Sam Alvey,74.0,205.0,75.0,Southpaw,1986-05-06,Other,2014-08-16,0
Adlan Amagov,74.0,170.0,76.0,Orthodox,1986-10-30,KO,2013-10-19,1
Adlan Amagov,74.0,170.0,76.0,Orthodox,1986-10-30,Other,2013-04-06,1
Alen Amedovski,70.0,185.0,74.0,Orthodox,1988-04-06,KO,2019-09-28,0
Alen Amedovski,70.0,185.0,74.0,Orthodox,1988-04-06,Other,2019-04-20,0
Makwan Amirkhani,70.0,145.0,72.0,Southpaw,1988-11-08,Submission,2019-06-01,1
Makwan Amirkhani,70.0,145.0,72.0,Southpaw,1988-11-08,Submission,2015-06-20,1
Makwan Amirkhani,70.0,145.0,72.0,Southpaw,1988-11-08,KO,2019-11-02,0
Makwan Amirkhani,70.0,145.0,72.0,Southpaw,1988-11-08,Other,2018-05-27,1
Makwan Amirkhani,70.0,145.0,72.0,Southpaw,1988-11-08,Other,2017-03-18,0
