R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country
Loma Lookboonmee,Angela Hill,155,-175,155,57.14285714,2/22/2020,"Auckland, New Zealand", New Zealand
Priscila Cachoeira,Shana Dobson,180,-220,180,45.45454545,2/22/2020,"Auckland, New Zealand", New Zealand
Francis Ngannou,Junior Dos Santos,-220,180,45.45454545,180,6/29/2019,"Minneapolis, Minnesota, USA", USA
Jussier Formiga,Joseph Benavidez,105,-125,105,80,6/29/2019,"Minneapolis, Minnesota, USA", USA
Demian Maia,Rocco Martin,-190,165,52.63157895,165,6/29/2019,"Minneapolis, Minnesota, USA", USA
Roosevelt Roberts,Vinc Pichel,-245,205,40.81632653,205,6/29/2019,"Minneapolis, Minnesota, USA", USA
Drew Dober,Marco Polo Reyes,-430,345,23.25581395,345,6/29/2019,"Minneapolis, Minnesota, USA", USA
Alonzo Menifield,Paul Craig,-350,290,28.57142857,290,6/29/2019,"Minneapolis, Minnesota, USA", USA
Ricardo Ramos,Journey Newson,-380,315,26.31578947,315,6/29/2019,"Minneapolis, Minnesota, USA", USA
Eryk Anders,Vinicius Moreira,-300,250,33.33333333,250,6/29/2019,"Minneapolis, Minnesota, USA", USA
Jared Gordon,Dan Moret,-350,290,28.57142857,290,6/29/2019,"Minneapolis, Minnesota, USA", USA
Dalcha Lungiambula,Dequan Townsend,-420,335,23.80952381,335,6/29/2019,"Minneapolis, Minnesota, USA", USA
Emily Whitmire,Amanda Ribas,-175,155,57.14285714,155,6/29/2019,"Minneapolis, Minnesota, USA", USA
Maurice Greene,Junior Albini,-125,105,80,105,6/29/2019,"Minneapolis, Minnesota, USA", USA
Renato Moicano,Chan Sung Jung,-220,180,45.45454545,180,6/22/2019,"Greenville, South Carolina, USA", USA
Bryan Barberena,Randy Brown,-235,195,42.55319149,195,6/22/2019,"Greenville, South Carolina, USA", USA
Andre Ewell,Anderson Dos Santos,-140,120,71.42857143,120,6/22/2019,"Greenville, South Carolina, USA", USA
Andrea Lee,Montana De La Rosa,-185,160,54.05405405,160,6/22/2019,"Greenville, South Carolina, USA", USA
Kevin Holland,Alessio Di Chirico,-230,190,43.47826087,190,6/22/2019,"Greenville, South Carolina, USA", USA
Dan Ige,Kevin Aguilar,120,-140,120,71.42857143,6/22/2019,"Greenville, South Carolina, USA", USA
Ashley Yoder,Syuri Kondo,-140,120,71.42857143,120,6/22/2019,"Greenville, South Carolina, USA", USA
Matt Wiman,Luis Pena,315,-380,315,26.31578947,6/22/2019,"Greenville, South Carolina, USA", USA
Allen Crowder,Jairzinho Rozenstruik,190,-230,190,43.47826087,6/22/2019,"Greenville, South Carolina, USA", USA
Ariane Lipski,Molly McCann,-255,215,39.21568627,215,6/22/2019,"Greenville, South Carolina, USA", USA
Deron Winn,Eric Spicely,-360,300,27.77777778,300,6/22/2019,"Greenville, South Carolina, USA", USA
Jon Jones,Thiago Santos,-670,485,14.92537313,485,7/6/2019,"Las Vegas, Nevada, USA", USA
Amanda Nunes,Holly Holm,-360,300,27.77777778,300,7/6/2019,"Las Vegas, Nevada, USA", USA
Jorge Masvidal,Ben Askren,180,-220,180,45.45454545,7/6/2019,"Las Vegas, Nevada, USA", USA
Jan Blachowicz,Luke Rockhold,220,-260,220,38.46153846,7/6/2019,"Las Vegas, Nevada, USA", USA
Diego Sanchez,Michael Chiesa,315,-380,315,26.31578947,7/6/2019,"Las Vegas, Nevada, USA", USA
Gilbert Melendez,Arnold Allen,260,-320,260,31.25,7/6/2019,"Las Vegas, Nevada, USA", USA
Marlon Vera,Nohelin Hernandez,-470,375,21.27659574,375,7/6/2019,"Las Vegas, Nevada, USA", USA
Caludia Gadelha,Randa Markos,-200,170,50,170,7/6/2019,"Las Vegas, Nevada, USA", USA
Alejandro Perez,Song Yadong,185,-225,185,44.44444444,7/6/2019,"Las Vegas, Nevada, USA", USA
Edmen Shahbazyan,Jack Marshman,-570,480,17.54385965,480,7/6/2019,"Las Vegas, Nevada, USA", USA
Ismail Naurdiev,Chance Rencountre,-570,435,17.54385965,435,7/6/2019,"Las Vegas, Nevada, USA", USA
Julia Avila,Pannie Kianzad,-250,210,40,210,7/6/2019,"Las Vegas, Nevada, USA", USA
Corey Anderson,Jan Blachowicz,-235,195,42.55319149,195,2/15/2020,"Rio Rancho, New Mexico, USA", USA
Diego Sanchez,Michel Pereira,135,-155,135,64.51612903,2/15/2020,"Rio Rancho, New Mexico, USA", USA
Montana De La Rosa,Mara Romero Borella,-175,155,57.14285714,155,2/15/2020,"Rio Rancho, New Mexico, USA", USA
Brok Weaver,Kazula Vargas,-270,230,37.03703704,230,2/15/2020,"Rio Rancho, New Mexico, USA", USA
Rogerio Bontorin,Ray Borg,130,-150,130,66.66666667,2/15/2020,"Rio Rancho, New Mexico, USA", USA
Lando Vannata,Yancy Medeiros,-120,100,83.33333333,100,2/15/2020,"Rio Rancho, New Mexico, USA", USA
Tim Means,Daniel Rodriguez,-345,285,28.98550725,285,2/15/2020,"Rio Rancho, New Mexico, USA", USA
John Dodson,Nathaniel Wood,130,-150,130,66.66666667,2/15/2020,"Rio Rancho, New Mexico, USA", USA
Jim Miller,Scott Holtzman,115,-135,115,74.07407407,2/15/2020,"Rio Rancho, New Mexico, USA", USA
Devin Clark,Dequan Townsend,-400,325,25,325,2/15/2020,"Rio Rancho, New Mexico, USA", USA
Casey Kenney,Merab Dvalishvili,150,-170,150,58.82352941,2/15/2020,"Rio Rancho, New Mexico, USA", USA
Macy Chiasson,Shanna Young,-800,550,12.5,550,2/15/2020,"Rio Rancho, New Mexico, USA", USA
Mark De La Rosa,Raulian Paiva,205,-245,205,40.81632653,2/15/2020,"Rio Rancho, New Mexico, USA", USA
Germaine De Randamie,Aspen Ladd,100,-120,100,83.33333333,7/13/2019,"Sacramento, California, USA", USA
Urijah Faber,Ricky Simon,320,-355,320,28.16901408,7/13/2019,"Sacramento, California, USA", USA
Josh Emmett,Mirsad Bektic,150,-170,150,58.82352941,7/13/2019,"Sacramento, California, USA", USA
Karl Roberson,Wellington Turman,-220,180,45.45454545,180,7/13/2019,"Sacramento, California, USA", USA
Marvin Vettori,Cezar Ferreira,-220,180,45.45454545,180,7/13/2019,"Sacramento, California, USA", USA
Andre Fili,Sheymon Moraes,-160,140,62.5,140,7/13/2019,"Sacramento, California, USA", USA
Julianna Pena,Nicco Montano,-250,210,40,210,7/13/2019,"Sacramento, California, USA", USA
Darren Elkins,Ryan Hall,-115,-105,86.95652174,95.23809524,7/13/2019,"Sacramento, California, USA", USA
Liu Pingyuan,Jonathan Martinez,-220,180,45.45454545,180,7/13/2019,"Sacramento, California, USA", USA
Livinha Souza,Brianna Van Buren,-115,-105,86.95652174,95.23809524,7/13/2019,"Sacramento, California, USA", USA
Benito Lopez,Vince Morales,-105,-105,95.23809524,95.23809524,7/13/2019,"Sacramento, California, USA", USA
Rafael Dos Anjos,Leon Edwards,-110,-110,90.90909091,90.90909091,7/20/2019,"San Antonio, Texas, USA", USA
Aleksei Oleinik,Walt Harris,130,-150,130,66.66666667,7/20/2019,"San Antonio, Texas, USA", USA
Greg Hardy,Juan Adams,-105,-115,95.23809524,86.95652174,7/20/2019,"San Antonio, Texas, USA", USA
James Vick,Dan Hooker,105,-125,105,80,7/20/2019,"San Antonio, Texas, USA", USA
Alexander Hernandez,Francisco Trinaldo,-250,210,40,210,7/20/2019,"San Antonio, Texas, USA", USA
Andrei Arlovski,Ben Rothwell,155,-175,155,57.14285714,7/20/2019,"San Antonio, Texas, USA", USA
Alex Caceres,Steven Peterson,-115,-105,86.95652174,95.23809524,7/20/2019,"San Antonio, Texas, USA", USA
Raquel Pennington,Irene Aldana,115,-135,115,74.07407407,7/20/2019,"San Antonio, Texas, USA", USA
Sam Alvey,Klidson Abreu,145,-165,145,60.60606061,7/20/2019,"San Antonio, Texas, USA", USA
Roxanne Modafferi,Jennifer Maia,110,-130,110,76.92307692,7/20/2019,"San Antonio, Texas, USA", USA
Ray Borg,Gabriel Silva,-185,160,54.05405405,160,7/20/2019,"San Antonio, Texas, USA", USA
Mario Bautista,Jin Soo Son,150,-170,150,58.82352941,7/20/2019,"San Antonio, Texas, USA", USA
Domingo Pilarte,Felipe Colares,-400,325,25,325,7/20/2019,"San Antonio, Texas, USA", USA
Max Holloway,Frankie Edgar,-335,275,29.85074627,275,7/27/2019,"Edmonton, Alberta, Canada", Canada
Cris Cyborg,Felicia Spencer,-380,315,26.31578947,315,7/27/2019,"Edmonton, Alberta, Canada", Canada
Geoff Neal,Niko Price,-335,275,29.85074627,275,7/27/2019,"Edmonton, Alberta, Canada", Canada
Olivier Aubin-Mercier,Arman Tsarukyan,145,-165,145,60.60606061,7/27/2019,"Edmonton, Alberta, Canada", Canada
Marc-Andre Barriault,Krzystof Jotko,145,-165,145,60.60606061,7/27/2019,"Edmonton, Alberta, Canada", Canada
Alexis Davis,Viviane Araujo,165,-190,165,52.63157895,7/27/2019,"Edmonton, Alberta, Canada", Canada
Hakeem Dawodu,Yoshinori Horie,-440,350,22.72727273,350,7/27/2019,"Edmonton, Alberta, Canada", Canada
Gavin Tucker,Seungwoo Choi,120,-140,120,71.42857143,7/27/2019,"Edmonton, Alberta, Canada", Canada
Alexandre Pantoja,Deiveson Figueiredo,-140,120,71.42857143,120,7/27/2019,"Edmonton, Alberta, Canada", Canada
Gillian Robertson,Sarah Frota,-150,130,66.66666667,130,7/27/2019,"Edmonton, Alberta, Canada", Canada
Erik Koch,Kyle Stewart,-140,120,71.42857143,120,7/27/2019,"Edmonton, Alberta, Canada", Canada
Colby Covington,Robbie Lawler,-300,250,33.33333333,250,8/3/2019,"Newark, New Jersey, USA", USA
Jim Miller,Clay Guida,-140,130,71.42857143,130,8/3/2019,"Newark, New Jersey, USA", USA
Joaquim Silva,Nasrat Haqparast,315,-380,315,26.31578947,8/3/2019,"Newark, New Jersey, USA", USA
Trevin Giles,Gerald Meerschaert,-170,150,58.82352941,150,8/3/2019,"Newark, New Jersey, USA", USA
Scott Holtzman,Dong Hyun Ma,-390,320,25.64102564,320,8/3/2019,"Newark, New Jersey, USA", USA
Darko Stosic,Kennedy Nzechukwu,-120,100,83.33333333,100,8/3/2019,"Newark, New Jersey, USA", USA
Mickey Gall,Salim Touahri,100,-120,100,83.33333333,8/3/2019,"Newark, New Jersey, USA", USA
Antonina Shevchenko,Lucie Pudilova,-160,140,62.5,140,8/3/2019,"Newark, New Jersey, USA", USA
Jordan Espinosa,Matt Schnell,-155,145,64.51612903,145,8/3/2019,"Newark, New Jersey, USA", USA
Lauren Murphy,Mara Romero Borella,180,-220,180,45.45454545,8/3/2019,"Newark, New Jersey, USA", USA
Claudio Silva,Cole Williams,-550,425,18.18181818,425,8/3/2019,"Newark, New Jersey, USA", USA
Miranda Granger,Hannah Goldy,-105,-115,95.23809524,86.95652174,8/3/2019,"Newark, New Jersey, USA", USA
Jon Jones,Dominick Reyes,-460,365,21.73913043,365,2/8/2020,"Houston, Texas, USA", USA
Valentina Shevchenko,Katlyn Chookagian,-920,610,10.86956522,610,2/8/2020,"Houston, Texas, USA", USA
Juan Adams,Justin Tafa,-240,200,41.66666667,200,2/8/2020,"Houston, Texas, USA", USA
Mirsad Bektic,Dan Ige,-125,105,80,105,2/8/2020,"Houston, Texas, USA", USA
Derrick Lewis,Ilir Latifi,-225,185,44.44444444,185,2/8/2020,"Houston, Texas, USA", USA
Trevin Giles,James Krause,-170,130,58.82352941,130,2/8/2020,"Houston, Texas, USA", USA
Alex Morono,Kalinn Williams,-345,285,28.98550725,285,2/8/2020,"Houston, Texas, USA", USA
Lauren Murphy,Andrea Lee,260,-320,260,31.25,2/8/2020,"Houston, Texas, USA", USA
Miles Johns,Mario Bautista,-132,112,75.75757576,112,2/8/2020,"Houston, Texas, USA", USA
Domingo Pilarte,Journey Newson,-125,105,80,105,2/8/2020,"Houston, Texas, USA", USA
Andre Ewell,Jonathan Martinez,-133,113,75.18796992,113,2/8/2020,"Houston, Texas, USA", USA
Austin Lingo,Youssef Zalel,-210,175,47.61904762,175,2/8/2020,"Houston, Texas, USA", USA
Valentina Shevchenko,Liz Carmouche,-1100,700,9.090909091,700,8/10/2019,"Montevideo, Uruguay", Uruguay
Vincente Luque,Mike Perry,-250,210,40,210,8/10/2019,"Montevideo, Uruguay", Uruguay
Luiz Garagorri,Humberto Bandenay,-145,125,68.96551724,125,8/10/2019,"Montevideo, Uruguay", Uruguay
Volkan Oezdemir,Ilir Latifi,-190,165,52.63157895,165,8/10/2019,"Montevideo, Uruguay", Uruguay
Rodolfo Vieira,Oskar Piechota,-225,185,44.44444444,185,8/10/2019,"Montevideo, Uruguay", Uruguay
Enrique Barzola,Bobby Moffett,-165,145,60.60606061,145,8/10/2019,"Montevideo, Uruguay", Uruguay
Gilbert Burns,Aleksei Kunchenko,120,-140,120,71.42857143,8/10/2019,"Montevideo, Uruguay", Uruguay
Ciryl Gane,Raphael Pessoa Nunes,-470,375,21.27659574,375,8/10/2019,"Montevideo, Uruguay", Uruguay
Tecia Torres,Marina Rodriguez,-160,140,62.5,140,8/10/2019,"Montevideo, Uruguay", Uruguay
Rogerio Bontorin,Raulian Paiva,100,-120,100,83.33333333,8/10/2019,"Montevideo, Uruguay", Uruguay
Geraldo de Freitas,Chris Gutierrez,-175,155,57.14285714,155,8/10/2019,"Montevideo, Uruguay", Uruguay
Kazula Vargas,Alex Da Silva,240,-280,240,35.71428571,8/10/2019,"Montevideo, Uruguay", Uruguay
Veronica Macedo,Polyana Viana,-130,110,76.92307692,110,8/10/2019,"Montevideo, Uruguay", Uruguay
Daniel Cormier,Stipe Miocic,-145,125,68.96551724,125,8/17/2019,"Anaheim, California, USA", USA
Anthony Pettis,Nate Diaz,-120,100,83.33333333,100,8/17/2019,"Anaheim, California, USA", USA
Yoel Romero,Paulo Costa,-165,145,60.60606061,145,8/17/2019,"Anaheim, California, USA", USA
Gabriel Benitez,Sodiq Yusuff,235,-275,235,36.36363636,8/17/2019,"Anaheim, California, USA", USA
Derek Brunson,Ian Heinisch,140,-160,140,62.5,8/17/2019,"Anaheim, California, USA", USA
Devonte Smith,Khama Worthy,-1000,650,10,650,8/17/2019,"Anaheim, California, USA", USA
Raphael Assuncao,Cory Sandhagen,220,-260,220,38.46153846,8/17/2019,"Anaheim, California, USA", USA
Christos Giagos,Drakkar Klose,165,-190,165,52.63157895,8/17/2019,"Anaheim, California, USA", USA
Manny Bermudez,Casey Kenney,-170,150,58.82352941,150,8/17/2019,"Anaheim, California, USA", USA
Hannah Cifers,Jodie Esquibel,-290,245,34.48275862,245,8/17/2019,"Anaheim, California, USA", USA
Kyung Ho Kang,Brandon Davis,-190,165,52.63157895,165,8/17/2019,"Anaheim, California, USA", USA
Sabina Mazo,Shana Dobson,-145,125,68.96551724,125,8/17/2019,"Anaheim, California, USA", USA
Jessica Andrade,Zhang Weili,-200,170,50,170,8/31/2019,"Shenzhen, Guangdong, China", China
Li Jingliang,Elizeu Dos Santos,215,-255,215,39.21568627,8/31/2019,"Shenzhen, Guangdong, China", China
Kai Kara-France,Mark De La Rosa,-185,160,54.05405405,160,8/31/2019,"Shenzhen, Guangdong, China", China
Song Kenan,Derrick,-110,-110,90.90909091,90.90909091,8/31/2019,"Shenzhen, Guangdong, China", China
Wu Yanan,Mizuki Inoue,150,-170,150,58.82352941,8/31/2019,"Shenzhen, Guangdong, China", China
Junyong Park,Anthony Hernandez,125,-145,125,68.96551724,8/31/2019,"Shenzhen, Guangdong, China", China
Su Mudaerji,Andre Soukhamthath,140,-160,140,62.5,8/31/2019,"Shenzhen, Guangdong, China", China
Da Un Jung,Khadis Ibragimov,245,-290,245,34.48275862,8/31/2019,"Shenzhen, Guangdong, China", China
Damir Ismagulov,Thiago Moises,-220,180,45.45454545,180,8/31/2019,"Shenzhen, Guangdong, China", China
Heili Alateng,Danaa Batgerel,-120,100,83.33333333,100,8/31/2019,"Shenzhen, Guangdong, China", China
Karol Rosa,Lara Procopio,-115,-105,86.95652174,95.23809524,8/31/2019,"Shenzhen, Guangdong, China", China
Khabib Nurmagomedov,Dustin Poirier,-400,325,25,325,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates
Edson Barboza,Paul Felder,-120,100,83.33333333,100,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates
Islam Makhachev,Davi Ramos,-380,315,26.31578947,315,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates
Curtis Blaydes,Shamil Abdurakhimov,-550,425,18.18181818,425,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates
Mairbek Taisumov,Diego Ferreira,-245,205,40.81632653,205,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates
Joanne Calderwood,Andrea Lee,210,-250,210,40,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates
Liana Jojua,Sarah Moras,-155,135,64.51612903,135,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates
Ottman Azaitar,Teemu Packalen,-190,165,52.63157895,165,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates
Belal Muhammad,Takashi Sato,-390,320,25.64102564,320,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates
Nordine Taleb,Muslim Salikhov,-130,110,76.92307692,110,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates
Omari Akhmedov,Zak Cummings,-125,105,80,105,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates
Don Madge,Fares Ziam,-190,165,52.63157895,165,9/7/2019,"Abu Dhabi, Abu Dhabi, United Arab Emirates", United Arab Emirates
Donald Cerrone,Justin Gaethje,160,-185,160,54.05405405,9/14/2019,"Vancouver, British Columbia, Canada", Canada
Glover Teixeira,Nikita Krylov,-115,-105,86.95652174,95.23809524,9/14/2019,"Vancouver, British Columbia, Canada", Canada
Michel Pereira,Tristan Connelly,-460,365,21.73913043,365,9/14/2019,"Vancouver, British Columbia, Canada", Canada
Uriah Hall,Antonio Carlos Junior,230,-270,230,37.03703704,9/14/2019,"Vancouver, British Columbia, Canada", Canada
Misha Cirkunov,Jimmy Crute,-105,-115,95.23809524,86.95652174,9/14/2019,"Vancouver, British Columbia, Canada", Canada
Marcin Tybura,Augusto Sakai,105,-125,105,80,9/14/2019,"Vancouver, British Columbia, Canada", Canada
Cole Smith,Miles Johns,115,-135,115,74.07407407,9/14/2019,"Vancouver, British Columbia, Canada", Canada
Brad Katona,Hunter Azure,-130,110,76.92307692,110,9/14/2019,"Vancouver, British Columbia, Canada", Canada
Chas Skelly,Jordan Griffin,145,-160,145,62.5,9/14/2019,"Vancouver, British Columbia, Canada", Canada
Louis Smolka,Ryan MacDonald,-230,190,43.47826087,190,9/14/2019,"Vancouver, British Columbia, Canada", Canada
Kyle Prepolec,Austin Hubbard,120,-140,120,71.42857143,9/14/2019,"Vancouver, British Columbia, Canada", Canada
Carla Esparza,Alexa Grasso,125,-145,125,68.96551724,9/21/2019,"Mexico City, Distrito Federal, Mexico", Mexico
Irene Aldana,Vanessa Melo,-525,415,19.04761905,415,9/21/2019,"Mexico City, Distrito Federal, Mexico", Mexico
Martin Bravo,Steven Peterson,-145,125,68.96551724,125,9/21/2019,"Mexico City, Distrito Federal, Mexico", Mexico
Jose Quinonez,Carlos Huachin,-150,130,66.66666667,130,9/21/2019,"Mexico City, Distrito Federal, Mexico", Mexico
Marco Polo Reyes,Kyle Nelson,-105,-115,95.23809524,86.95652174,9/21/2019,"Mexico City, Distrito Federal, Mexico", Mexico
Ariane Carnelossi,Angela Hill,-115,-105,86.95652174,95.23809524,9/21/2019,"Mexico City, Distrito Federal, Mexico", Mexico
Sergio Pettis,Tyson Nam,-300,250,33.33333333,250,9/21/2019,"Mexico City, Distrito Federal, Mexico", Mexico
Vinicius Moreira,Paul Craig,100,-120,100,83.33333333,9/21/2019,"Mexico City, Distrito Federal, Mexico", Mexico
Sijara Eubanks,Bethe Correia,-290,245,34.48275862,245,9/21/2019,"Mexico City, Distrito Federal, Mexico", Mexico
Caludio Puelles,Marcos Mariano,-400,325,25,325,9/21/2019,"Mexico City, Distrito Federal, Mexico", Mexico
Jack Hermansson,Jared Cannonier,-275,235,36.36363636,235,9/28/2019,"Copenhagen, Denmark", Denmark
Mark Madsen,Danilo Belluardo,-600,450,16.66666667,450,9/28/2019,"Copenhagen, Denmark", Denmark
Gunnar Nelson,Gilbert Burns,-105,-115,95.23809524,86.95652174,9/28/2019,"Copenhagen, Denmark", Denmark
Ion Cutelaba,Khalil Rountree Jr.,-105,-115,95.23809524,86.95652174,9/28/2019,"Copenhagen, Denmark", Denmark
Michal Oleksiejczuk,Ovince Saint Preux,-290,245,34.48275862,245,9/28/2019,"Copenhagen, Denmark", Denmark
Nicolas Dalby,Alex Oliveira,135,-155,135,64.51612903,9/28/2019,"Copenhagen, Denmark", Denmark
Alen Amedovski,John Phillips,-130,110,76.92307692,110,9/28/2019,"Copenhagen, Denmark", Denmark
Alessio Di Chirico,Makhmud Muradov,145,-165,145,60.60606061,9/28/2019,"Copenhagen, Denmark", Denmark
Siyar Bahadurzada,Ismail Naurdiev,190,-230,190,43.47826087,9/28/2019,"Copenhagen, Denmark", Denmark
Brandon Davis,Giga Chikadze,-155,135,64.51612903,135,9/28/2019,"Copenhagen, Denmark", Denmark
Macy Chiasson,Lina Lansberg,-430,345,23.25581395,345,9/28/2019,"Copenhagen, Denmark", Denmark
Marc Diakiese,Lando Vannata,-165,145,60.60606061,145,9/28/2019,"Copenhagen, Denmark", Denmark
Jack Shore,Nohelin Hernandez,-235,195,42.55319149,195,9/28/2019,"Copenhagen, Denmark", Denmark
Robert Whittaker,Israel Adesanya,110,-130,110,76.92307692,10/5/2019,"Melbourne, Victoria, Australia", Australia
Al Iaquinta,Dan Hooker,115,-135,115,74.07407407,10/5/2019,"Melbourne, Victoria, Australia", Australia
Tai Tuivasa,Serghei Spivac,-330,270,30.3030303,270,10/5/2019,"Melbourne, Victoria, Australia", Australia
Luke Jumeau,Dhiego Lima,120,-140,120,71.42857143,10/5/2019,"Melbourne, Victoria, Australia", Australia
Justin Tafa,Yorgan De Castro,-105,-115,95.23809524,86.95652174,10/5/2019,"Melbourne, Victoria, Australia", Australia
Jake Matthews,Rostem Akman,-470,375,21.27659574,375,10/5/2019,"Melbourne, Victoria, Australia", Australia
Callan Potter,Maki Pitolo,325,-400,325,25,10/5/2019,"Melbourne, Victoria, Australia", Australia
Brad Riddell,Jamie Mullarkey,-165,145,60.60606061,145,10/5/2019,"Melbourne, Victoria, Australia", Australia
Megan Anderson,Zarah Fairn,-420,335,23.80952381,335,10/5/2019,"Melbourne, Victoria, Australia", Australia
Nadia Kassem,Ji Yeon Kim,155,-175,155,57.14285714,10/5/2019,"Melbourne, Victoria, Australia", Australia
Khalid Taha,Bruno Silva,-220,180,45.45454545,180,10/5/2019,"Melbourne, Victoria, Australia", Australia
Curtis Blaydes,Junior Dos Santos,-280,240,35.71428571,240,1/25/2020,"Raleigh, North Carolina, USA", USA
Rafael Dos Anjos,Michael Chiesa,-225,185,44.44444444,185,1/25/2020,"Raleigh, North Carolina, USA", USA
Jordan Espinosa,Alex Perez,210,-250,210,40,1/25/2020,"Raleigh, North Carolina, USA", USA
Hannah Cifers,Angela Hill,180,-220,180,45.45454545,1/25/2020,"Raleigh, North Carolina, USA", USA
Jamahal Hill,Darko Stosic,-135,115,74.07407407,115,1/25/2020,"Raleigh, North Carolina, USA", USA
Bevon Lewis,Dequan Townsend,-370,310,27.02702703,310,1/25/2020,"Raleigh, North Carolina, USA", USA
Arnold Allen,Nik Lentz,-235,195,42.55319149,195,1/25/2020,"Raleigh, North Carolina, USA", USA
Justine Kish,Luci Pudilova,150,-170,150,58.82352941,1/25/2020,"Raleigh, North Carolina, USA", USA
Montel Jackson,Felipe Colares,-700,500,14.28571429,500,1/25/2020,"Raleigh, North Carolina, USA", USA
Sara McMann,Lina Lansberg,-125,105,80,105,1/25/2020,"Raleigh, North Carolina, USA", USA
Brett Johns,Tony Gravely,-130,110,76.92307692,110,1/25/2020,"Raleigh, North Carolina, USA", USA
Herbert Burns,Nate Landwehr,100,-120,100,83.33333333,1/25/2020,"Raleigh, North Carolina, USA", USA
Joanna Jedrzejczyk,Michelle Waterson,-300,250,33.33333333,250,10/12/2019,"Tampa, Florida, USA", USA
Cub Swanson,Kron Gracie,155,-175,155,57.14285714,10/12/2019,"Tampa, Florida, USA", USA
Niko Price,James Vick,-145,125,68.96551724,125,10/12/2019,"Tampa, Florida, USA", USA
Mackenzie Dern,Amanda Ribas,-185,160,54.05405405,160,10/12/2019,"Tampa, Florida, USA", USA
Matt Frevola,Luis Pena,130,-150,130,66.66666667,10/12/2019,"Tampa, Florida, USA", USA
Eryk Anders,Gerald Meerschaert,-140,120,71.42857143,120,10/12/2019,"Tampa, Florida, USA", USA
Ryan Spann,Devin Clark,-175,155,57.14285714,155,10/12/2019,"Tampa, Florida, USA", USA
Mike Davis,Thomas Gifford,-290,245,34.48275862,245,10/12/2019,"Tampa, Florida, USA", USA
Max Griffin,Alex Morono,-145,125,68.96551724,125,10/12/2019,"Tampa, Florida, USA", USA
Deiveson Figueiredo,Tim Elliott,-175,155,57.14285714,155,10/12/2019,"Tampa, Florida, USA", USA
Marlon Vera,Andre Ewell,-140,120,71.42857143,120,10/12/2019,"Tampa, Florida, USA", USA
Miguel Baeza,Hector Aldana,-250,210,40,210,10/12/2019,"Tampa, Florida, USA", USA
Marvin Vettori,Andrew Sanchez,-370,310,27.02702703,310,10/12/2019,"Tampa, Florida, USA", USA
JJ Aldrich,Lauren Mueller,-150,130,66.66666667,130,10/12/2019,"Tampa, Florida, USA", USA
Yair Rodriguez,Jeremy Stephens,-140,120,71.42857143,120,10/18/2019,"Boston, Massachusetts, USA", USA
Dominick Reyes,Chris Weidman,-200,170,50,170,10/18/2019,"Boston, Massachusetts, USA", USA
Joe Lauzon,Jonathan Pearce,170,-200,170,50,10/18/2019,"Boston, Massachusetts, USA", USA
Maycee Barber,Gillian Robertson,-170,150,58.82352941,150,10/18/2019,"Boston, Massachusetts, USA", USA
Deron Winn,Darren Stewart,-115,-105,86.95652174,95.23809524,10/18/2019,"Boston, Massachusetts, USA", USA
Charles Rosa,Manny Bermudez,160,-185,160,54.05405405,10/18/2019,"Boston, Massachusetts, USA", USA
Molly McCann,Diana Belbita,-640,470,15.625,470,10/18/2019,"Boston, Massachusetts, USA", USA
Kyle Bochniak,Sean Woodson,-115,-105,86.95652174,95.23809524,10/18/2019,"Boston, Massachusetts, USA", USA
Randy Costa,Boston Salmon,130,-150,130,66.66666667,10/18/2019,"Boston, Massachusetts, USA", USA
Court McGee,Sean Brady,150,-170,150,58.82352941,10/18/2019,"Boston, Massachusetts, USA", USA
Brendan Allen,Kevin Holland,135,-155,135,64.51612903,10/18/2019,"Boston, Massachusetts, USA", USA
Daniel Spitz,Tanner Boser,125,-145,125,68.96551724,10/18/2019,"Boston, Massachusetts, USA", USA
Demian Maia,Ben Askren,140,-160,140,62.5,10/26/2019,"Kallang, Singapore", Singapore
Michael Johnson,Stevie Ray,-275,235,36.36363636,235,10/26/2019,"Kallang, Singapore", Singapore
Frank Camacho,Beneil Dariush,160,-185,160,54.05405405,10/26/2019,"Kallang, Singapore", Singapore
Ciryl Gane,Don'tale Mayes,-325,265,30.76923077,265,10/26/2019,"Kallang, Singapore", Singapore
Muslim Salikhov,Laureano Staropoli,-165,145,60.60606061,145,10/26/2019,"Kallang, Singapore", Singapore
