R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR_pct,B_SIG_STR_pct,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,date,location,R_SIG_STR._ATT,R_SIG_STR._LANDED,B_SIG_STR._ATT,B_SIG_STR._LANDED,R_TOTAL_STR._ATT,R_TOTAL_STR._LANDED,B_TOTAL_STR._ATT,B_TOTAL_STR._LANDED,R_TD_ATT,R_TD_LANDED,B_TD_ATT,B_TD_LANDED,R_HEAD_ATT,R_HEAD_LANDED,B_HEAD_ATT,B_HEAD_LANDED,R_BODY_ATT,R_BODY_LANDED,B_BODY_ATT,B_BODY_LANDED,R_LEG_ATT,R_LEG_LANDED,B_LEG_ATT,B_LEG_LANDED,R_DISTANCE_ATT,R_DISTANCE_LANDED,B_DISTANCE_ATT,B_DISTANCE_LANDED,R_CLINCH_ATT,R_CLINCH_LANDED,B_CLINCH_ATT,B_CLINCH_LANDED,R_GROUND_ATT,R_GROUND_LANDED,B_GROUND_ATT,B_GROUND_LANDED,title_bout,total_time_fought(sec),no_of_rounds,Red_win,R_Height,R_Weight,R_Reach,R_KO_win_%,R_Sub_win_%,R_Stance_Orthodox,R_Stance_Southpaw,R_num_fights,R_record,R_age,B_Height,B_Weight,B_Reach,B_KO_win_%,B_Sub_win_%,B_Stance_Orthodox,B_Stance_Southpaw,B_num_fights,B_record,B_age,Bantamweight,Featherweight,Flyweight,Heavyweight,Light Heavyweight,Lightweight,Middleweight,Welterweight,Women's Bantamweight,Women's Featherweight,Women's Flyweight,Women's Strawweight
Jonathan Brookins,Charles Oliveira,0,0,0.36,0.55,0.5,0.5,1,1,0,0,0,0,2012-06-01,1,74,27,76,42,74,27,82,48,2,1,2,1,63,22,52,21,9,4,13,10,2,1,11,11,64,22,63,32,10,5,9,8,0,0,4,2,0,462,3,0,72.0,145.0,73.0,0.3333333333333333,0.0,0,1,3,0.6666666666666666,26.801371691410502,70.0,155.0,74.0,0.16666666666666666,0.6666666666666666,1,0,6,0.5,22.62332559874604,0,1,0,0,0,0,0,0,0,0,0,0
Kevin Lee,Gregor Gillespie,1,0,0.35,0.19,0.0,0.0,0,0,0,0,0,0,2019-11-02,0,59,21,46,9,59,21,46,9,0,0,1,0,55,19,45,8,4,2,0,0,0,0,1,1,56,20,46,9,2,0,0,0,1,1,0,0,0,167,3,1,69.0,170.0,77.0,0.2,0.4,1,0,15,0.6666666666666666,27.160037509325996,67.0,155.0,71.0,0.5,0.3333333333333333,1,0,6,1.0,32.96987617815561,0,0,0,0,0,1,0,0,0,0,0,0
Jordan Rinaldi,Gregor Gillespie,0,0,0.43,0.61,0.0,0.5,0,0,0,7,0,0,2018-01-27,0,16,7,55,34,16,7,63,42,0,0,2,1,14,5,51,31,1,1,2,1,1,1,2,2,16,7,19,5,0,0,1,1,0,0,35,28,0,286,3,0,70.0,145.0,72.0,0.0,0.5,1,0,2,0.5,30.34148545144664,67.0,155.0,71.0,0.3333333333333333,0.3333333333333333,1,0,3,1.0,31.20666406565501,0,0,0,0,0,1,0,0,0,0,0,0
Kevin Lee,Al Iaquinta,0,0,0.34,0.48,0.6,0.0,0,0,3,0,0,0,2018-12-15,0,296,102,228,111,319,121,230,113,5,3,7,0,267,80,189,82,21,14,28,19,8,8,11,10,273,81,226,110,1,1,0,0,22,20,2,1,0,1500,5,0,69.0,170.0,77.0,0.23076923076923078,0.38461538461538464,1,0,13,0.7692307692307693,26.278431453075697,70.0,155.0,70.0,0.36363636363636365,0.18181818181818182,1,0,11,0.7272727272727273,31.62830174473124,0,0,0,0,0,1,0,0,0,0,0,0
Jorge Masvidal,Al Iaquinta,0,0,0.48,0.35,0.0,0.0,0,0,1,0,0,0,2015-04-04,0,170,83,153,55,173,86,153,55,0,0,9,0,146,62,107,18,11,10,18,11,13,11,28,26,155,77,150,54,6,1,3,1,9,5,0,0,0,900,3,0,71.0,170.0,74.0,0.0,0.16666666666666666,1,0,6,0.8333333333333334,30.390767777572435,70.0,155.0,70.0,0.375,0.25,1,0,8,0.75,27.929389378289766,0,0,0,0,0,1,0,0,0,0,0,0
Joe Lauzon,Al Iaquinta,0,1,0.37,0.38,0.0,0.33,0,0,0,0,0,0,2015-01-31,1,86,32,154,59,86,32,158,63,1,0,3,1,84,31,132,44,1,0,14,9,1,1,8,6,85,32,141,51,1,0,7,5,0,0,6,3,0,514,3,0,70.0,155.0,71.0,0.29411764705882354,0.47058823529411764,1,0,17,0.6470588235294118,30.694675455348158,70.0,155.0,70.0,0.2857142857142857,0.2857142857142857,1,0,7,0.7142857142857143,27.75690123684949,0,0,0,0,0,1,0,0,0,0,0,0
Khabib Nurmagomedov,Al Iaquinta,0,0,0.44,0.29,0.4,0.0,1,0,7,0,0,0,2018-04-07,0,304,134,141,41,352,172,143,43,15,6,1,0,287,122,117,27,12,7,20,11,5,5,4,3,255,100,141,41,0,0,0,0,49,34,0,0,1,1500,5,1,70.0,155.0,70.0,0.2222222222222222,0.2222222222222222,1,0,9,1.0,29.544754512412986,70.0,155.0,70.0,0.4,0.2,1,0,10,0.8,30.938349178970135,0,0,0,0,0,1,0,0,0,0,0,0
Ross Pearson,Al Iaquinta,0,2,0.33,0.33,0.0,0.0,0,0,0,0,0,0,2014-11-07,0,60,20,93,31,61,21,94,32,1,0,1,0,49,13,81,25,6,3,9,3,5,4,3,3,60,20,84,26,0,0,6,3,0,0,3,2,0,399,3,0,68.0,155.0,69.0,0.38461538461538464,0.07692307692307693,1,0,13,0.6153846153846154,30.114239169866597,70.0,155.0,70.0,0.16666666666666666,0.3333333333333333,1,0,6,0.6666666666666666,27.524179141255466,0,0,0,0,0,1,0,0,0,0,0,0
Ryan Couture,Al Iaquinta,0,0,0.29,0.45,0.0,1.0,0,0,0,0,0,0,2013-08-31,0,155,45,177,80,158,47,183,86,6,0,4,4,122,20,147,55,18,12,24,19,15,13,6,6,142,38,150,62,13,7,20,13,0,0,7,5,0,900,3,0,70.0,155.0,75.0,1.0,0.0,1,0,1,0.0,31.012272668158825,70.0,155.0,70.0,0.0,1.0,1,0,1,0.0,26.338665407229442,0,0,0,0,0,1,0,0,0,0,0,0
Kevin Lee,Magomed Mustafaev,0,0,0.71,0.58,0.77,0.0,2,1,11,0,0,0,2016-11-19,0,28,20,34,20,54,46,49,34,9,7,2,0,21,13,20,11,7,7,14,9,0,0,0,0,8,1,22,11,7,7,9,6,13,12,3,3,0,571,3,1,69.0,170.0,77.0,0.25,0.125,1,0,8,0.75,24.208573755792383,68.0,155.0,71.0,1.0,0.0,1,0,2,1.0,28.299006824233214,0,0,0,0,0,1,0,0,0,0,0,0
Brad Riddell,Magomed Mustafaev,1,0,0.52,0.6,1.0,0.72,0,0,2,0,0,0,2020-02-22,0,72,38,46,28,97,60,56,36,1,1,11,8,49,21,23,10,17,12,11,7,6,5,12,11,45,20,27,12,3,3,10,8,24,15,9,8,0,900,3,1,67.0,155.0,71.0,0.0,0.0,1,0,1,1.0,28.397571476484803,68.0,155.0,71.0,0.75,0.25,1,0,4,0.75,31.55711616254954,0,0,0,0,0,1,0,0,0,0,0,0
Joe Proctor,Magomed Mustafaev,0,1,0.69,0.66,0.0,0.0,0,0,0,0,0,0,2015-12-12,1,13,9,27,18,13,9,31,22,0,0,0,0,7,3,22,13,2,2,4,4,4,4,1,1,12,8,18,9,1,1,4,4,0,0,5,5,0,114,3,0,70.0,155.0,72.0,0.3333333333333333,0.3333333333333333,1,0,6,0.6666666666666666,30.338747544439652,68.0,155.0,71.0,1.0,0.0,1,0,1,1.0,27.359904720836155,0,0,0,0,0,1,0,0,0,0,0,0
Kevin Lee,James Moontasri,0,0,0.32,0.33,0.5,0.0,1,0,1,0,0,0,2015-07-15,0,28,9,18,6,28,9,18,6,2,1,0,0,20,4,12,1,8,5,2,1,0,0,4,4,27,8,18,6,1,1,0,0,0,0,0,0,0,176,3,1,69.0,170.0,77.0,0.0,0.0,1,0,4,0.75,22.85878560134705,70.0,170.0,71.0,0.0,0.5,0,0,2,0.5,27.26134006858457,0,0,0,0,0,1,0,0,0,0,0,0
Alex Oliveira,James Moontasri,0,0,0.74,0.46,0.25,0.0,0,0,1,0,0,0,2016-07-23,0,78,58,26,12,196,156,48,30,8,2,1,0,45,28,17,6,31,28,3,1,2,2,6,5,12,5,14,3,21,15,12,9,45,38,0,0,0,900,3,1,71.0,170.0,76.0,0.2,0.6,1,0,5,0.6,28.41947473254071,70.0,170.0,71.0,0.25,0.5,0,0,4,0.5,28.28531728919827,0,0,0,0,0,0,0,1,0,0,0,0
Demian Maia,Gilbert Burns,0,1,0.57,0.81,1.0,0.0,0,0,1,0,0,0,2020-03-14,0,7,4,16,13,7,4,17,14,2,2,0,0,7,4,13,10,0,0,1,1,0,0,2,2,7,4,7,5,0,0,0,0,0,0,9,8,0,154,3,0,73.0,170.0,72.0,0.06451612903225806,0.3548387096774194,0,1,31,0.7096774193548387,42.352683491105225,70.0,170.0,71.0,0.23076923076923078,0.3076923076923077,1,0,13,0.7692307692307693,33.65161502289575,0,0,0,0,0,0,0,1,0,0,0,0
Gunnar Nelson,Gilbert Burns,0,0,0.55,0.39,0.0,0.33,0,1,0,1,0,0,2019-09-28,0,36,20,76,30,45,26,99,46,2,0,3,1,23,9,47,8,5,4,11,8,8,7,18,14,32,18,55,19,3,2,18,10,1,0,3,1,0,900,3,0,71.0,170.0,72.0,0.08333333333333333,0.5833333333333334,0,0,12,0.6666666666666666,31.16833336755717,70.0,170.0,71.0,0.25,0.3333333333333333,1,0,12,0.75,33.191646645721676,0,0,0,0,0,0,0,1,0,0,0,0
Olivier Aubin-Mercier,Gilbert Burns,0,1,0.41,0.53,0.0,0.42,0,0,0,4,0,0,2018-12-08,0,96,40,143,76,98,42,190,120,0,0,7,3,88,35,121,57,8,5,17,16,0,0,5,3,93,37,95,37,3,3,6,6,0,0,42,33,0,900,3,0,69.0,155.0,70.0,0.1,0.4,0,1,10,0.7,29.788428236034964,70.0,170.0,71.0,0.3333333333333333,0.3333333333333333,1,0,9,0.6666666666666666,32.38670198566706,0,0,0,0,0,1,0,0,0,0,0,0
Dan Hooker,Gilbert Burns,2,0,0.64,0.46,0.0,0.0,1,0,0,0,0,0,2018-07-07,1,34,22,28,13,34,22,29,13,0,0,1,0,23,12,16,5,4,4,2,1,7,6,10,7,31,19,28,13,0,0,0,0,3,3,0,0,0,148,3,1,72.0,155.0,75.0,0.4444444444444444,0.2222222222222222,0,0,9,0.6666666666666666,28.394833569477814,70.0,170.0,71.0,0.25,0.375,1,0,8,0.75,31.965064306590826,0,0,0,0,0,1,0,0,0,0,0,0
Jason Saggo,Gilbert Burns,0,1,0.38,0.44,0.5,0.66,0,0,0,0,0,0,2017-09-16,0,92,35,95,42,99,39,104,50,2,1,3,2,60,11,77,27,14,9,10,8,18,15,8,7,84,30,78,31,3,2,10,6,5,3,7,5,0,595,3,0,71.0,155.0,71.0,0.4,0.0,1,0,5,0.6,31.81447942120646,70.0,170.0,71.0,0.0,0.5,1,0,6,0.6666666666666666,31.160119646536206,0,0,0,0,0,1,0,0,0,0,0,0
Demian Maia,Ben Askren,0,0,0.56,0.49,0.0,0.57,1,0,4,1,2,1,2019-10-26,0,122,69,127,63,137,84,168,102,0,0,7,4,88,44,116,54,34,25,6,4,0,0,5,5,99,49,108,46,20,17,13,11,3,3,6,6,0,834,5,1,73.0,170.0,72.0,0.06666666666666667,0.3333333333333333,0,1,30,0.7,41.969376510126835,71.0,170.0,73.0,0.5,0.5,1,0,2,0.5,35.27245597103295,0,0,0,0,0,0,0,1,0,0,0,0
Jorge Masvidal,Ben Askren,1,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2019-07-06,1,3,3,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,5,3,1,71.0,170.0,74.0,0.25,0.0625,1,0,16,0.625,34.64547526643258,71.0,170.0,73.0,0.0,1.0,1,0,1,1.0,34.96581038625023,0,0,0,0,0,0,0,1,0,0,0,0
Demian Maia,Anthony Rocco Martin,0,0,0.25,0.23,0.33,0.0,0,0,4,2,1,0,2019-06-29,0,12,3,95,22,86,74,109,36,9,3,0,0,12,3,81,13,0,0,12,7,0,0,2,2,11,2,86,16,0,0,1,1,1,1,8,5,0,900,3,1,73.0,170.0,72.0,0.06896551724137931,0.3448275862068966,0,1,29,0.6896551724137931,41.6435655762952,72.0,170.0,73.0,0.08333333333333333,0.4166666666666667,1,0,12,0.6666666666666666,29.547492419419974,0,0,0,0,0,0,0,1,0,0,0,0
Beneil Dariush,Anthony Rocco Martin,0,0,0.42,0.47,0.66,0.25,1,0,2,1,0,0,2014-08-23,0,61,26,72,34,65,30,76,38,3,2,4,1,32,6,59,24,24,17,4,2,5,3,9,8,47,15,61,27,14,11,11,7,0,0,0,0,0,518,3,1,70.0,155.0,72.0,0.5,0.5,0,1,2,0.5,25.29826074457381,72.0,170.0,73.0,0.0,0.0,1,0,1,0.0,24.698659110043327,0,0,0,0,0,1,0,0,0,0,0,0
Jake Matthews,Anthony Rocco Martin,0,0,0.32,0.29,0.0,0.0,1,1,0,2,1,1,2018-12-01,0,75,24,86,25,78,27,94,33,1,0,0,0,60,15,75,15,9,6,1,1,6,3,10,9,74,23,84,23,1,1,1,1,0,0,1,1,0,679,3,0,71.0,170.0,73.0,0.2,0.5,1,0,10,0.7,24.28523515198806,72.0,170.0,73.0,0.1,0.4,1,0,10,0.6,28.972531947952387,0,0,0,0,0,0,0,1,0,0,0,0
Ramazan Emeev,Anthony Rocco Martin,0,0,0.32,0.29,0.0,0.0,0,2,0,0,0,0,2019-11-09,0,92,30,140,41,105,43,148,48,9,0,0,0,84,26,119,22,4,2,0,0,4,2,21,19,86,24,140,41,6,6,0,0,0,0,0,0,0,900,3,0,70.0,170.0,76.0,0.0,0.0,0,1,3,1.0,32.46610128886972,72.0,170.0,73.0,0.07692307692307693,0.38461538461538464,1,0,13,0.6153846153846154,29.911634051349445,0,0,0,0,0,0,0,1,0,0,0,0
Ryan LaFlare,Anthony Rocco Martin,0,2,0.51,0.46,0.0,0.0,0,1,0,4,0,0,2018-10-06,1,68,35,77,36,72,38,79,38,1,0,0,0,33,8,74,33,27,20,1,1,8,7,2,2,64,31,52,18,3,3,2,2,1,1,23,16,0,660,3,0,73.0,170.0,74.0,0.1111111111111111,0.0,0,1,9,0.7777777777777778,35.015092712376024,72.0,170.0,73.0,0.0,0.4444444444444444,1,0,9,0.5555555555555556,28.81920915556103,0,0,0,0,0,0,0,1,0,0,0,0
Leonardo Santos,Anthony Rocco Martin,0,0,0.3,0.38,0.5,0.0,1,0,2,0,0,0,2015-03-21,0,39,12,36,14,43,16,46,24,2,1,3,0,25,6,30,8,3,0,1,1,11,6,5,5,39,12,36,14,0,0,0,0,0,0,0,0,0,449,3,1,72.0,155.0,75.0,0.0,0.3333333333333333,1,0,3,0.6666666666666666,35.12187108564858,72.0,170.0,73.0,0.0,0.6666666666666666,1,0,3,0.3333333333333333,25.273619581510914,0,0,0,0,0,1,0,0,0,0,0,0
Fabricio Camoes,Anthony Rocco Martin,0,0,0.12,0.09,0.0,1.0,0,3,0,2,0,0,2014-10-25,0,8,1,11,1,8,1,12,2,0,0,1,1,5,0,11,1,0,0,0,0,3,1,0,0,8,1,11,1,0,0,0,0,0,0,0,0,0,256,3,0,70.0,155.0,73.0,0.0,0.6,1,0,5,0.2,35.839202721479566,72.0,170.0,73.0,0.0,0.5,1,0,2,0.0,24.871147251483603,0,0,0,0,0,1,0,0,0,0,0,0
Demian Maia,Lyman Good,0,0,0.0,0.0,0.5,0.0,2,0,1,0,0,0,2019-02-02,0,1,0,2,0,9,8,2,0,4,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,158,3,1,73.0,170.0,72.0,0.07142857142857142,0.32142857142857145,0,1,28,0.6785714285714286,41.24109324626789,72.0,170.0,74.0,0.6666666666666666,0.0,1,0,3,0.6666666666666666,33.689945720993585,0,0,0,0,0,0,0,1,0,0,0,0
Demian Maia,Kamaru Usman,0,1,0.31,0.31,0.0,0.0,0,0,0,0,0,0,2018-05-19,0,87,27,209,66,94,33,244,97,15,0,0,0,85,26,181,49,2,1,12,4,0,0,16,13,85,25,187,55,1,1,5,1,1,1,17,10,0,1500,5,0,73.0,170.0,72.0,0.07407407407407407,0.3333333333333333,0,1,27,0.7037037037037037,40.531975331457865,72.0,170.0,76.0,0.14285714285714285,0.14285714285714285,0,0,7,1.0,31.02322429618678,0,0,0,0,0,0,0,1,0,0,0,0
Rafael Dos Anjos,Kamaru Usman,0,0,0.55,0.58,0.0,0.66,2,0,0,7,1,0,2018-11-30,1,112,62,223,130,138,84,334,227,1,0,18,12,74,27,183,95,20,19,34,29,18,16,6,6,83,35,111,48,24,22,43,33,5,5,69,49,0,1500,5,0,68.0,170.0,70.0,0.24,0.16,0,1,25,0.68,34.09515595802789,72.0,170.0,76.0,0.125,0.125,0,0,8,1.0,31.55711616254954,0,0,0,0,0,0,0,1,0,0,0,0
Warlley Alves,Kamaru Usman,0,0,0.34,0.47,0.0,0.5,1,1,0,2,0,0,2016-11-19,0,73,25,150,71,74,26,216,129,0,0,2,1,55,11,127,58,12,9,20,11,6,5,3,2,70,23,123,59,3,2,5,3,0,0,22,9,0,900,3,0,71.0,170.0,72.0,0.0,0.6,1,0,5,0.8,25.875959123048386,72.0,170.0,76.0,0.0,0.3333333333333333,0,0,3,1.0,29.528327070371056,0,0,0,0,0,0,0,1,0,0,0,0
Tyron Woodley,Kamaru Usman,0,0,0.66,0.72,0.0,0.33,0,0,0,7,0,0,2019-03-02,1,51,34,194,141,79,60,390,336,1,0,6,2,28,12,104,56,19,18,87,83,4,4,3,2,24,10,73,27,27,24,82,78,0,0,39,36,1,1500,5,0,69.0,170.0,74.0,0.4166666666666667,0.08333333333333333,1,0,12,0.75,36.901510640191105,72.0,170.0,76.0,0.1111111111111111,0.1111111111111111,0,0,9,1.0,31.80900360719248,0,0,0,0,0,0,0,1,0,0,0,0
